id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlight Sonata,Classicist,classical,sad,0.12,60,0.15,0.20,0.99
12,Street Anthem,MC Verse,hip-hop,confident,0.85,95,0.60,0.92,0.15
13,Dirt Road Memories,Rusty Strings,country,nostalgic,0.55,105,0.65,0.55,0.60
14,Neon Trance,DJ Pulse,edm,euphoric,0.95,128,0.70,0.85,0.02
15,Shattered Glass,Iron Vengeance,metal,angry,0.98,160,0.25,0.40,0.01
16,Island Breeze,Solar Roots,reggae,relaxed,0.60,85,0.80,0.78,0.30
17,Cybernetic Heart,Glitch Mobster,industrial,dark,0.88,115,0.30,0.65,0.05
18,Ancient Chants,Monks of Eden,world,peaceful,0.15,65,0.30,0.25,0.95
